ra,dec,source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_n_obs,phot_g_mean_mag,g,bp_rp
35.80566918424648,63.02346415609737,513902530718480256,133.1246177347827,1.9824747943228034,1.14560916764084,0.03150819742013747,3.5557008478771284,0.028407610515292222,-3.070847754395205,0.04749433299365603,-0.42253757,0.145342,-0.25365806,0.35706446,-0.14142163,0.31321958,-0.28375533,-0.078448825,0.1961982,-0.46255857,601,15.649806,15.649806,1.4099121
35.358073598257135,63.22154389848859,513955547796593408,132.86631508890773,2.098858594549661,0.720092248689498,0.08697093947926166,4.065269328385749,0.08837000432585489,-4.284770479270189,0.1320803332983852,-0.36602128,0.11125859,-0.1329562,0.13256969,-0.008941502,0.100149155,-0.071864724,-0.047917947,0.14550596,-0.55265135,475,17.373045,17.373045,1.5900078
34.90079202979643,63.238808860467856,513969394771174144,132.66647970599897,2.0455980543399432,0.8972023587640212,0.02570946752095222,3.1753975242685013,0.022785082315881056,-3.434430493699159,0.03585221420109181,-0.3141139,0.15277737,-0.28062835,0.27221268,-0.089920186,0.23378454,-0.23117444,-0.15042846,0.23601413,-0.3977252,423,14.081113,14.081113,1.0115604
35.41653398038606,63.0731475896442,513952043103427456,132.9418169593016,1.9683771525775877,0.7080580924993595,0.060027144155933534,2.9336004741266923,0.05722469512944906,-4.684200785147259,0.09074321774862328,-0.4293862,0.13685001,-0.21330935,0.21401927,-0.1646039,0.19461808,-0.23054825,-0.009373316,0.096051514,-0.5398053,536,16.752974,16.752974,1.6013613
34.891758255441054,63.242415527124415,513969394771171840,132.66143773276434,2.0476383465352734,0.910975165500038,0.03199609780298323,3.1107906935692693,0.02808296953487171,-3.4879289982921433,0.04453084281015926,-0.3020751,0.1305119,-0.37801912,0.24621505,-0.09063594,0.21859586,-0.28965482,-0.15695506,0.24439198,-0.3739544,414,15.110483,15.110483,1.0992565
35.460831819460545,63.1625401827972,513954379565534592,132.93006587426228,2.0592303369882337,0.9742015534233555,0.0816047306109303,2.680974850791113,0.07841151828878676,-3.5406580798142944,0.11774311419640604,-0.41784033,0.13149592,-0.1804547,0.21999563,-0.19677521,0.19401315,-0.18725555,-0.046003137,0.14040954,-0.51105845,491,17.117334,17.117334,1.9356747
35.068384789015994,63.35361690536683,513972006111213312,132.69894178101313,2.1790164901586264,0.7725678497894604,0.059873934195793614,3.766651563363389,0.06111770321545534,-3.298961083640454,0.08939392995943968,-0.35591537,0.19651805,-0.1669718,0.16938403,-0.07413542,0.12622264,-0.1111639,0.06820464,0.080326416,-0.5072104,434,16.638813,16.638813,1.6635733
36.40885678200191,63.397221617899554,514312270597697664,133.24782932522785,2.427944913173949,1.0887415065257475,0.02359245583285781,2.764664097934682,0.019069638879724904,-3.0908420143663307,0.03247889004866093,-0.47224492,0.11882097,-0.337969,0.35021976,-0.00801218,0.3131467,-0.34680527,-0.1446372,0.30962622,-0.4924304,461,13.600553,13.600553,1.045126
36.339174758861304,63.484691561854,514313885505333760,133.18756335142373,2.498630272816056,0.8410184146955678,0.06807213513352794,3.13564336060342,0.061236519084826704,-3.9359608869283833,0.10153836102278317,-0.5352463,0.06352699,-0.2105894,0.17804852,0.007919659,0.17191733,-0.19938217,0.025620064,0.19558252,-0.60983557,455,16.649487,16.649487,1.6737518
36.84877566172287,63.36603997366411,514297908227049216,133.44316395617764,2.4696110491765184,0.7192914117390169,0.07202564141265623,2.9419511759702326,0.06550899000584343,-3.9088848109516787,0.10273907508603089,-0.5092255,0.08080872,-0.16489425,0.19765355,-0.115420155,0.16334638,-0.10543165,0.033049572,0.050704803,-0.5746736,478,16.843555,16.843555,1.6313286
37.40430903602392,63.41520742442172,514301202457861888,133.65691945385007,2.6064678639533936,1.0682449228031574,0.043583204110574175,3.0986984231175407,0.03682487018996273,-4.172979934050273,0.06200903780229856,-0.42047918,0.112288274,-0.2627318,0.30234957,-0.058381908,0.26860645,-0.27901518,0.08884607,0.05016163,-0.49138308,544,16.035742,16.035742,1.4745569
36.13727834529041,63.064931104911835,514275776252330112,133.2510374812882,2.073871999367992,0.789792288784708,0.10576104002869288,3.9218839914354167,0.10632272536056116,-4.418827058557047,0.17703992054852255,-0.52641493,0.056345984,-0.10308381,0.22244605,-0.024763828,0.24107517,-0.2837036,-0.023814846,0.104505256,-0.66731465,538,17.724558,17.724558,1.655716
36.997562111074,63.274816393536526,514293681979285120,133.53862748109134,2.408883102512152,1.0423546482689088,0.08307402965522154,3.078447291828395,0.0754666262917659,-3.9723610956186213,0.12356424679478821,-0.4609507,0.10597947,-0.0053457515,0.09557884,-0.16463616,0.051813018,0.04871015,-0.009586111,0.08677162,-0.58229053,552,17.26931,17.26931,1.7438908
37.193586961715695,63.43864406424345,514300931884168064,133.56055465033768,2.59350895260356,0.961309090247666,0.0366341634178508,3.1135023515188904,0.030085439646159794,-4.089891965371575,0.05086250797638783,-0.44490173,0.21775334,-0.31160888,0.34215727,-0.18973286,0.29054946,-0.34643596,0.0012657153,0.14990944,-0.4543865,513,15.57874,15.57874,1.382184
36.67895295275146,63.33488326628918,514308216148598272,133.38332046243067,2.4130601957213926,0.9701504759015251,0.045655512919440526,2.9566888525300095,0.038592762367334776,-4.878437459944442,0.06047980929617229,-0.53586954,0.13749501,-0.2619248,0.25526583,-0.107177794,0.22693898,-0.22450686,-0.10493829,0.28475022,-0.54123026,536,15.973741,15.973741,1.4094191
36.50267366283321,63.5228716276411,514315397333778944,133.24218199234804,2.560282819989843,0.8945131447018907,0.0802605632971158,2.9688429972172092,0.06657579526837328,-3.978542766472639,0.10619579242196153,-0.41843987,0.07805255,-0.25087166,0.19783497,0.03099555,0.17710233,-0.17812464,0.06923107,0.19955958,-0.4809312,486,17.03169,17.03169,1.520791
36.50224035053206,63.521998422713445,514315397333780096,133.24231365671912,2.5593982247507716,0.9001190081860201,0.02035559977313029,3.3465751885750894,0.016863388232493455,-4.586784322317242,0.027662590461037823,-0.4126176,0.09102223,-0.30915788,0.2542982,0.0023638147,0.23026547,-0.2644151,0.009151432,0.23281544,-0.4490193,499,13.027819,13.027819,0.8420572
36.72545764784693,63.66975076978508,514321822604736128,133.28198174823532,2.7329319227208084,0.9816024694884302,0.023785553027739253,3.0495790988150775,0.023740930019838492,-4.214532888052263,0.03517704519609743,-0.40194702,0.0069228956,-0.40387043,0.330978,-5.699012E-4,0.31090647,-0.3628046,0.12181418,0.09041221,-0.4649297,491,14.667568,14.667568,1.2598686
37.218708640939546,63.49386550517367,514305536089093760,133.55070028915378,2.6489926988275894,0.9800132347102809,0.039739324487250496,3.170003147336156,0.034137192409512455,-4.101101227706854,0.056377420090280204,-0.45419517,0.18429838,-0.28655317,0.39154175,-0.2019027,0.32694772,-0.33753252,0.010578591,0.14193028,-0.42059806,519,15.823873,15.823873,1.4386053
37.09876070087044,63.544712103968706,514306669960171648,133.48222445080188,2.676689831162205,0.9990240400346394,0.02775839658367431,3.09708522504053,0.02577816743066477,-3.976474758685226,0.03999600995909596,-0.41550684,0.21343005,-0.29854038,0.26092976,-0.21029513,0.2286234,-0.29295233,-0.033590082,0.14441055,-0.39221296,534,10.309497,10.309497,1.6892462
36.65383729712696,63.5700556113427,514320821868316416,133.28818678856618,2.6284647827977836,1.0029419418214085,0.019739390262846608,3.3638039364107377,0.016861359855586257,-4.0226767723469035,0.026876601981072314,-0.41117007,0.1656865,-0.43491942,0.32098413,-0.13819468,0.2784435,-0.35634965,-0.032468386,0.30872127,-0.39879924,453,13.176478,13.176478,1.024723
37.24163304300176,63.557621223279696,514306322059121408,133.53674939001175,2.7120405359392556,1.0475216720512455,0.09802223123531494,2.7285463411793835,0.09045097497328797,-4.158154470389707,0.14202183923071765,-0.4092106,0.13973577,-0.23850472,0.27649027,-0.09505602,0.23570351,-0.21190323,0.073275365,0.07822027,-0.46132097,490,17.619087,17.619087,2.0873127
37.34759861454266,63.50472585111011,514302821669757312,133.60022005436596,2.6802760931996104,0.9620987310617364,0.030292092700088608,3.1701270790199514,0.026911215885678595,-3.0848440288808394,0.04492954134646733,-0.40910572,0.1352002,-0.2219683,0.25454876,-0.11609759,0.20864007,-0.22854264,0.12562747,0.05203121,-0.48015657,462,12.000106,12.000106,0.9362459
37.16881889221508,63.54171980332885,514306257643308544,133.51239688351984,2.685338002248577,0.6607520785646358,0.027955379676779493,2.8624574160714227,0.024961886046564862,-3.789666890552692,0.040265077480710114,-0.4173159,0.23621646,-0.27383572,0.28839895,-0.22182216,0.23594068,-0.28085712,-4.5491225E-4,0.16280995,-0.4459419,512,15.078982,15.078982,1.4451208
36.040879045011295,63.11718768867816,514279285248037248,133.1917946590315,2.1074739761222343,0.839525093897976,0.02097875608949267,2.688032944358608,0.017340851206005457,-3.1653888352476893,0.02989241459500942,-0.47428894,0.030493876,-0.30667695,0.33264193,0.10576336,0.30841473,-0.2925732,-0.081374235,0.23299082,-0.5338724,537,13.660941,13.660941,1.1463547
35.92542967451845,63.15546813093403,514280350399904384,133.129490310884,2.125090828525289,0.7554506514788253,0.06914511735289296,3.0692302493886894,0.060049781482023126,-4.544184029870456,0.09985392423665589,-0.46637478,-0.013956045,-0.2785666,0.28042573,0.03625641,0.27038223,-0.2784095,-0.021891708,0.16621116,-0.53647447,626,12.1362,12.1362,1.7179489
37.03486669845065,63.4731679214105,514304848886716672,133.48182981865293,2.599678868414505,0.770550120208803,0.05985507112670422,2.5941005825545376,0.054532361235170385,-3.3414933607015374,0.0821337329650554,-0.44790146,0.20358194,-0.2167545,0.27388626,-0.20794168,0.21530005,-0.19689968,0.042537626,0.12254916,-0.45495307,515,16.697342,16.697342,1.5179052
36.37800341029941,63.43511219290666,514313198310602624,133.22142389889675,2.458446583926089,0.9289240544327242,0.03197402500855106,2.9225155738767437,0.027914709047980206,-3.9766931234977014,0.04903331137731322,-0.54813045,0.104379855,-0.42690465,0.4088323,0.07918703,0.39486527,-0.45832208,0.011099649,0.16980547,-0.5870633,484,14.95202,14.95202,1.2951746
36.05464220666406,63.187972252516104,514280655335513344,133.1727794929682,2.175943074239549,1.1117321376441132,0.08186866544176284,3.637430372921764,0.07964003241930584,-3.179111465907667,0.13365151016987983,-0.5245502,0.057653543,-0.18943764,0.24418455,-0.04856912,0.25121948,-0.28198075,-0.13767786,0.23608315,-0.6687968,520,17.157646,17.157646,1.8841248
36.91078438710206,63.59130263483475,514319657941254912,133.38722044213787,2.6895805713910685,1.012701250401812,0.03631860659519905,3.0837717746709026,0.02849611480054692,-4.046482179143143,0.045559316180697175,-0.41939697,0.29288605,-0.22327745,0.30976045,-0.20594552,0.23917498,-0.31041804,-0.08531889,0.31153443,-0.42139912,443,15.266244,15.266244,1.3545132
36.201877544598105,63.38227913280419,514289318291483392,133.1663618888965,2.3811139160418207,0.7190432583315829,0.037837008028058755,2.663534584917315,0.033046130622896165,-4.002185634986139,0.053624653157501694,-0.45512384,0.058011465,-0.34308562,0.23816675,0.008746377,0.22922385,-0.27990687,-0.07578065,0.26597705,-0.50381625,471,15.509442,15.509442,1.2138443
36.46705863825171,63.46693364656207,514312987851226624,133.24731099726802,2.5023567715075483,1.0280820948222396,0.03779996215197224,2.985243276616896,0.030069022992038643,-3.756773378513358,0.05250287082539803,-0.50863767,0.16718172,-0.41975883,0.38364694,-0.031881347,0.34604466,-0.37395152,-0.02168962,0.2370903,-0.51881593,433,12.788797,12.788797,0.7155876
