source_id,l,b,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_n_obs,phot_g_mean_mag,g,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error
3375285536591890816,189.45668726568272,0.543563315541275,92.16635983503133,0.03874990089767624,21.028910068850582,0.03609169990961202,0.477555502201218,0.04573481260674391,0.38667803770559384,0.07657569841434399,-2.3635958284698555,0.06604648079226583,-0.093335845,0.10139285,-0.18812229,0.1629008,-0.39030582,0.06024992,-0.3859922,0.20640817,0.3155613,-0.14202534,159,14.03597,14.03597,15.280495,12.914599,,
3375229362715901824,189.74777790392065,0.6735652090423373,92.43903502957731,0.03580244602514382,20.837171318124714,0.03178316354452279,1.1047375797167938,0.03543471496139128,-0.3612563351973511,0.07711690491579373,-2.841199063127731,0.06082779591943578,0.11455802,0.06259377,-0.4366934,-0.05636149,-0.29235184,-0.06758361,-0.51085836,0.034292415,0.057556044,0.24904612,120,14.567126,14.567126,14.950903,14.016075,,
3375245271274659456,189.55671020124012,0.05864249090504668,91.76482876595944,0.03005897726986488,20.70582679994925,0.027751285621832586,0.5033243554733928,0.03507906294267839,0.47172079129884614,0.05586868510344707,-2.17485826061636,0.04702488881476793,-0.2529298,0.22460341,-0.267565,0.22438186,-0.4248923,0.041836645,-0.4937764,0.27267048,0.27777123,-0.15645267,127,14.175855,14.175855,14.457431,13.669017,,
3375298322710584320,189.19152172609014,0.43171617345681174,91.92352905338032,0.17674784258181098,21.206406220232523,0.15776612289557831,0.07322009093829762,0.19857772862606618,0.2588041875338028,0.3308006667141415,-2.663953215998178,0.27432410653004885,-0.19117469,0.34730643,-0.23263097,0.17002416,-0.41578767,0.11357539,-0.3662574,0.050996333,0.057019956,0.1231088,123,17.577766,17.577766,19.649399,16.155806,,
3375281142841633536,189.56941269614748,0.5658506744465402,92.24575401953344,0.05467120309310401,20.941117385435607,0.05516568964630792,0.6976018501074068,0.06856519698077126,-0.4188356830645056,0.11515354389340766,-2.1825357517928747,0.10687675352933837,-0.07004532,0.015727043,-0.1812943,0.16736333,-0.5159239,0.05334706,-0.25686768,0.15544856,0.23936993,-0.2002752,151,16.317545,16.317545,16.862204,15.623985,,
3375238463751403904,189.7166842131784,-0.042525751075368885,91.75368710326421,0.1226083242435581,20.51683490228093,0.1089827597494344,0.6816887845100793,0.12171451601352719,0.06865253250853726,0.23399653463207515,-2.1911359620032185,0.188995292226444,-0.20950629,-0.26818055,-0.35736287,0.5554549,-0.2587221,0.48484623,-0.40604332,0.2741885,-0.0057682437,-0.3650795,150,17.370024,17.370024,18.0587,16.451092,,
3375315777458786176,189.73960415594956,1.0453715963570032,92.78348098209372,0.09250810270299693,21.02373161120818,0.08436109200225146,0.2561132381098611,0.08325646490063611,0.37329102813889975,0.180629891473428,-3.258371961178011,0.14292576463524154,-0.4878433,-0.15488358,-0.5799715,0.54017717,0.047749586,0.52544415,-0.6609697,0.41688263,-0.030927984,-0.49241015,107,15.448677,15.448677,17.061867,14.187258,,
3375331033182407040,189.56686285695974,0.8918781626524923,92.55013872287583,0.09672989780773183,21.101030204443788,0.08926272357073596,0.2644978724842022,0.0914719909510835,0.08537733163844974,0.19703915847508224,-2.6058929138805076,0.17364561285412614,-0.3447819,0.006172632,-0.32899687,0.48950577,-0.20815285,0.44581714,-0.4177094,0.16265398,0.062390257,-0.38287923,137,16.241707,16.241707,18.104124,14.893411,,
3375297738595044864,189.21913623704458,0.38888388452826245,91.89779013911183,0.13357931513481447,21.16144906621519,0.13305945979465722,0.3941809073709453,0.1655699285116674,-0.04735577649498571,0.24836043722532644,-1.904686036365906,0.2106228030561497,-0.26780778,0.15676671,-0.17549686,0.2601762,-0.519564,0.0839348,-0.38657835,0.21103743,0.21367605,-0.12155145,102,17.416002,17.416002,18.733967,16.221699,,
3375254647186123264,189.54163028328904,-0.11083647805027,91.5988162277781,0.23589131150950998,20.636366962165518,0.21974274001001134,-0.25857336776174156,0.2607976300370985,-1.344904425306209,0.4626176163652916,-2.318208056405485,0.37634652566045707,-0.07295188,-0.01509038,-0.2643862,0.29859865,-0.38851982,0.21207097,-0.3963171,0.19127879,0.13843758,-0.069398515,136,17.581095,17.581095,18.141663,16.610388,,
3375317254927508480,189.86223781196438,1.18270567121903,92.97562917129883,0.07172545232403242,20.98230678359603,0.07014280620420972,0.2643729325339184,0.08587469393552105,0.36601590202407,0.13900248452273406,-3.3084124820889196,0.12438164721544707,-0.3540996,0.053653423,-0.17284125,0.23340313,-0.44351256,0.11479699,-0.35483038,0.20689693,0.27708736,-0.36634412,140,16.604465,16.604465,18.188362,15.358758,,
3375302755116768256,189.23538579258215,0.691326119168975,92.1898999956209,0.04409488703594898,21.2940902924398,0.04039377435103732,0.7755864418782136,0.04611489290676762,-1.4770145125655127,0.08654731646336336,-3.003252566590877,0.07012969161373815,-0.10437956,-0.028236307,-0.39156783,0.26135424,-0.3266624,0.17281818,-0.48377204,0.2393218,0.10897551,-0.05671144,131,15.456072,15.456072,15.871903,14.857994,,
3375262348062611840,189.35030053971403,-0.0410246343051514,91.56411756940827,0.10104085569324095,20.837433234943322,0.09117597959581447,0.20668720857372283,0.0944272071594925,-0.38154473769286584,0.22442282968302882,-2.3593493490940975,0.19157936181898894,-0.2480339,0.04156293,-0.34205446,0.33629534,-0.09725007,0.34024686,-0.4261215,0.039543662,0.045879573,-0.2506,116,16.412292,16.412292,16.994238,15.564682,,
3375305091579004288,189.23557753385919,0.5977541261679687,92.10218572190004,0.4042822232436484,21.24854292013951,0.3715973513018353,0.3496631522678695,0.38236588281936756,0.03044505246576331,0.761840691327777,-2.045742935881062,0.6115209389708184,-0.26772892,-0.116594724,-0.31198475,0.56657207,-0.17103077,0.50866,-0.4223527,0.2690348,-0.03118191,-0.23833087,107,17.950579,17.950579,19.214468,16.71884,,
