ra,dec,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error
73.63598125569509,40.89413052062737,200313911730292480,0.4090538514959994,0.2002727622042363,0.6119335253423842,0.3526154251093287,-1.1468900072846826,0.2657293966311513,0.21448761,0.4255789,0.030499594,18.287066,18.980015,17.494497,913.1037870277196,1.436702112794523,353.62990229889357,7.863253557080255,807.1780573453499,9.873911907684999
73.49619166174777,40.789743369908244,200306520088811264,0.786507895565657,0.44190198582786216,-0.5982875560908331,1.2101545505913678,2.442882549122303,0.7377351724790682,0.0522163,0.28083402,-0.6383084,19.208752,19.943817,18.448942,390.7019052582319,1.3253054514088247,145.55531665930982,6.802407160415591,335.1131094474217,9.25773583169957
73.34746370923756,40.8068064683235,200310230940612736,0.49320709311284305,0.23531974531958522,1.2839019420595847,0.4707368873424721,-0.39237793676306587,0.299649097418674,0.3869608,0.14680378,-0.2670772,18.520695,19.156834,17.795563,736.3227443242281,1.757474861626639,300.48448606711605,7.328942527535068,611.7057161917415,9.735952723105108
73.60516569947254,40.904573081669405,200314633285386752,,,,,,,,,,20.952106,22.34348,19.678003,78.43385052066446,1.171764683520003,15.964800213057062,4.108672280938408,108.03557905074352,6.411778705155156
73.32711627925352,40.86776285236605,200322394288240128,0.8867764231717131,0.41518467469871484,4.913138474347528,1.0207525598476475,-8.269235446155662,0.6067014104631949,0.06631764,0.22505186,-0.5891014,19.12119,20.665525,17.931583,423.5164958390856,1.612445174411909,74.87648019887162,8.570304086925304,539.6780023952426,9.435138645539313
73.44629014720736,40.99190483055048,200325005628853632,0.03459133474607841,0.22842279918315736,-0.26805496512920635,0.36542921887351815,-0.5017079409829792,0.25665983784032953,0.23494554,0.36520824,-0.03885379,18.075123,18.607174,17.380728,1109.934042395403,1.907043168842821,498.5235231624981,6.660743962000417,896.3482204806413,10.735507659121724
73.5083404453288,40.80381221778057,200308203716050560,0.5942497709925023,0.4633571793811441,2.7965989402346705,1.0483614355642632,-1.084466030520434,0.6604217065866775,0.17495719,0.32533428,-0.3512497,19.094023,19.902763,18.249006,434.2471183199557,1.2901158653207065,151.16448086651357,8.652171876655743,402.8704646366976,6.629151933908886
73.57201541358535,40.78142081893547,200307245939017984,0.8563141167388522,1.058502989738371,-0.005171407277338114,2.734791813440779,-2.719854743487639,1.945718723219323,0.09929607,0.31139764,0.3745889,20.388636,20.684788,19.21345,131.7929759138297,0.9480069523019329,73.55969481945021,16.635252228951003,165.72518219917166,7.168369199291728
73.56987774529091,40.972877578211204,200318236760327936,0.5722296854898291,0.3823683638185003,1.0961408885023693,0.5882801436906399,-4.021278545630397,0.4468398527875321,0.2312022,0.4413368,0.0067696935,18.520388,19.338575,17.535852,736.5312129855748,2.1347801338164194,254.17059873215422,9.900379678377941,777.0101860740787,8.023351096257784
73.54918296309114,40.94840379374297,200318103618372480,0.23611460635923248,0.09602263612181139,3.4528171903239757,0.14831761340979463,-1.6226486429942555,0.11468985123795038,0.20869006,0.4333458,0.05833484,16.906563,17.507643,16.16462,3256.275456461493,2.4877606445205824,1372.4563467475284,8.54336198818091,2747.389121256032,9.66733547276911
73.60335536898245,40.94406915143039,200315006942771456,1.371613905390524,0.4438907125631139,8.880096767219644,0.9868048259442673,0.5865077539780342,0.6719476432852156,-0.10985292,0.48125973,-0.5057459,19.344046,20.628937,18.269121,344.9277389609272,1.278281903710519,77.44268362194944,6.281241771063499,395.47558176117093,7.962076532861961
73.56985846280948,40.84889526038339,200308581673350144,0.2530882066474354,0.4194804453156163,-0.24466589742891476,1.0700824091864687,0.24794006680712855,0.6602072421402781,0.120287225,0.2505084,-0.6008847,19.181177,19.822628,18.383934,400.75159272122164,1.3524240539323986,162.74351516481187,8.09742618139452,355.7906696113943,14.944783638163154
73.33063541575342,40.84941561491971,200310608897905024,0.08903412484445349,0.44854872660045764,0.33547774339536607,1.117264428408985,-1.974062019897855,0.6407287061456645,0.18571809,0.11385248,-0.4886101,19.181295,19.830076,18.347824,400.70789536354954,1.4956235186894882,161.63107147964578,21.411518305088048,367.82229177487915,9.492192830708673
73.29596993526938,40.87431807463936,200322634806435200,0.4072761314225244,0.6458711089957101,2.117603539676698,1.934224159600843,-1.489281907797888,1.1087428683500806,0.119935215,0.098709136,-0.7102719,19.754055,20.22319,18.837923,236.44199626803348,1.4495886479557276,112.53273599875183,14.468260626034468,234.2065107938326,5.771535745558666
73.29643107635981,40.90398011506717,200322737885770624,0.37060067770480387,0.5711319548516861,2.470880229182182,1.5530363529439597,-1.7386371880583034,0.9325244396212301,0.006689255,0.25116196,-0.6632316,19.607685,20.054989,18.836704,270.5654977324579,1.5073490201909818,131.3891718803673,21.590172835211494,234.4695964375292,13.200373298337986
73.5677696359434,40.9727364465175,200318236760327808,0.7260121279709406,0.17638501038475987,0.5690462875211633,0.2886203397469808,-0.2287266650196872,0.22234347383456912,0.15516065,0.44557002,0.041989308,17.838333,18.418175,17.025902,1380.4256053667511,2.4353848907932827,593.3148503926153,12.003234286497666,1242.8179610057118,12.094037486874953
73.52643347214536,40.99465312327989,200318962608474368,1.2641318021076382,0.4956474804056568,1.2437827166774258,1.1292536201561831,0.5390778344858072,0.7176842590376057,-0.0940736,0.4319647,-0.50405043,19.340557,19.9117,18.43665,346.0379217367308,1.4444550318802083,149.92557261974844,9.780124781543382,338.928570610769,8.678337918897668
73.39354621369306,40.92609935473707,200324425808572672,0.29963610782883926,1.1907094097498196,0.9667808298352262,3.522639675073702,0.25322435767157153,1.9989479584358567,0.33594853,-0.2077646,-0.12881953,20.574318,20.8413,19.681633,111.07577615971555,0.8214165533461303,63.68472599287741,9.851087585883857,107.67492615714373,7.681877384191413
73.46605727313849,40.88644643849413,200311712705373312,,,,,,,,,,20.703783,20.903929,19.638945,98.59008307050615,1.125342638718398,60.115122907177216,10.61569420392779,111.99284548087577,10.540874482240476
