,Cluster_ID,PMDEC,PMDEC-DIS,PMRA,PMRA-DIS,b,b-SIZE,l,l-SIZE,patch
0,0,-2.6483433186992227,0.03930829532040055,-0.5141697157826194,0.04967047502744667,-0.11264838580206958,0.2657597464995985,189.76604978153802,0.1987453058250173,126
2,2,10.322394890497664,0.005560282231099949,-15.888996739288519,0.10577978037551164,0.6047170664011591,0.24936339598071014,189.81893291430325,0.055693776487102366,126
0,0,-3.6009437097029817,0.022740348552807425,0.7125583433174679,0.03696237255275225,-8.462028194689651,0.1874928683880404,192.75613913496014,0.20166092143975697,131
0,0,-5.842546231627141,0.04801905215006362,0.5808559429200049,0.011853374307393274,-4.7190281265658625,0.07439788322612984,192.664495738022,0.002103647317994728,151
0,0,-0.4888696376704328,0.2391044365829961,0.15188061776415634,0.16188821590861668,-5.838621841445536,0.13400418261744082,198.19643845394643,0.27518573969341603,185
0,0,-4.750776246140158,0.08836147623272929,-7.197336245718486,0.10812892057939497,-4.363917191453145,0.02708562129785186,192.7582092782181,0.0004205832110812935,194
0,0,-1.6169456074458073,0.09063350356819036,-1.2353075435388243,0.17171730508886754,-2.813341209425744,0.1928550179785776,195.67151473003045,0.22941709179054826,206
0,0,-1.7522321269583867,0.0001251866528143081,-0.6946128136860199,0.0007531448943569052,-0.9825441753154546,0.4126114691343158,191.9530587834903,0.11364868606518995,209
0,0,-15.444126231254856,0.04899215351864068,6.0888132536906125,0.010633877726151212,-7.104025571784327,0.001808735380357973,185.66429404490543,0.4903313888553385,23
0,0,-23.41794804950336,0.11876058246643895,-7.874388898438604,0.02516296591064262,1.7813888614581967,0.11949547949593775,182.24142040759452,0.2248817221466055,261
0,0,-2.810550511737808,0.00028587372375359353,0.5214601363343561,0.00020169893257269012,3.2708695228299174,0.16565248352485096,182.72928987698185,0.0039499693030222716,280
0,0,-2.8820635854812666,0.06312990575813153,2.300277319437116,0.06240104277777416,2.388630294058624,0.2398535789674787,186.17171642008702,0.16447763221447326,323
0,0,-2.0012264057778584,0.046034251268943616,-0.17490996780868545,0.04817981719848107,1.7529546264921172,0.14909888816306935,186.64067716336757,0.08746526454076384,324
0,0,-2.90329018114627,0.08082720828847972,2.2595643440657005,0.10585810958816858,2.3247082271796318,0.20067937257715887,186.62716803565448,0.1291012983921437,326
0,0,-1.7995030280307205,0.015910833043468228,0.39776725552668063,0.015543806973854947,2.8051474756817742,0.2614657371044956,189.27498422427638,0.22361113572673566,342
0,0,-3.589192159496745,0.004675273288217154,-0.6409932990367088,0.002747235572562244,8.420896435270343,0.1214889014839935,196.8522321511698,0.2831154363286004,499
0,0,-19.081974716085288,0.004202863105723489,-1.2093461657415592,0.03528006247990443,-1.0597383926315382,0.2314162204894977,182.41261519635185,0.09021278429847256,77
